Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
514446,2019-08-10 23:52:33,4189814094741,fraud_Kozey-Boehm,shopping_net,967.35,Jason,Farmer,M,33165 Larry Walks Suite 960,Ragland,AL,35131,33.7367,-86.1619,4159,Educational psychologist,1998-02-03,767042515cae66aefb6d50603a1a5fed,1344642753,34.473939,-85.45812099999999,1
46662,2019-01-28 14:18:38,4344955088481397,fraud_Abbott-Rogahn,entertainment,67.51,Christopher,Rodgers,M,30587 Fox Shores Apt. 627,Fenelton,PA,16034,40.8555,-79.7372,2054,Communications engineer,1976-09-29,6d0def480ff25541bf04eedb8899dedc,1327760318,41.663181,-79.501825,0
929305,2020-01-04 05:55:11,374497717543058,"fraud_Rippin, Kub and Mann",misc_net,7.61,Linda,Hurst,F,31701 Tucker Square Suite 893,Wilton,ND,58579,47.1709,-100.7944,1190,"Designer, ceramics/pottery",1948-06-30,e394bdc85826d13216dc0099e97e7281,1357278911,46.932044,-101.688577,0
366420,2019-06-18 22:56:22,6506116513503136,fraud_Schimmel-Olson,kids_pets,18.91,Kimberly,Rice,F,63991 Destiny Rue Apt. 651,Tyler,TX,75703,32.2768,-95.3031,144160,Sports development officer,1984-05-04,4fc8aacf4af4490d869bcb37f50d6f1a,1340060182,31.880318,-94.534577,1
606235,2019-09-14 22:27:25,3524485462198080,fraud_Terry-Huel,shopping_net,1063.77,Dennis,Jones,M,671 Cynthia Key Suite 155,Glendale,CA,91206,34.1556,-118.2322,172817,"Accountant, chartered",1941-09-30,9ac923c6b4b91880464fe14bd37483c3,1347661645,33.384541,-117.954597,1
1019705,2020-02-25 02:39:14,4839043708100390,fraud_Koepp-Witting,grocery_pos,300.89,Meredith,Campbell,F,043 Hanson Turnpike,Hedrick,IA,52563,41.1826,-92.3097,1583,Geochemist,1999-06-28,869d890a10ae76044295bbe3a155232d,1361759954,41.891978,-92.251708,1
491098,2019-08-02 22:12:56,3547574373318979,"fraud_Hayes, Marquardt and Dibbert",misc_net,918.23,Jacob,Patel,M,54822 Hill Forks,Dieterich,IL,62424,39.0319,-88.4074,2092,"Psychologist, clinical",1962-04-30,aee4433a5d892051e9e2b26214f37734,1343945576,38.487743,-88.283764,1
652520,2019-10-05 10:55:50,377550167323848,fraud_Kutch LLC,gas_transport,54.38,Kevin,Walters,M,87227 Tapia Burgs,Auburn,ME,4210,44.0948,-70.23899999999999,23045,Tourist information centre manager,1958-09-02,033f6140075f0afd38999d54d06ae1fb,1349434550,43.517994,-70.43217,0
1289356,2020-06-18 12:45:44,4859525594182537,"fraud_Romaguera, Wehner and Tromp",kids_pets,86.71,Rebecca,Farley,F,383 Long Islands,Downsville,NY,13755,42.0716,-75.0152,1228,"Psychotherapist, child",1990-02-25,d849c238d5ec5cc1a4176b3c8e4a5112,1371559544,41.519064,-75.028964,0
916420,2019-12-30 02:34:22,213155997615567,fraud_Schamberger-O'Keefe,grocery_pos,301.29,James,Yoder,M,83359 Lopez Point,Clune,PA,15727,40.5503,-79.3237,168,Race relations officer,1978-10-04,28132776f92964dbfcaa77e6567034d2,1356834862,40.656619,-78.626644,1
610276,2019-09-16 06:03:43,3589289942931264,fraud_Heidenreich PLC,grocery_pos,68.95,Paula,Estrada,F,350 Stacy Glens,Spencer,SD,57374,43.7557,-97.5936,343,"Development worker, international aid",1972-03-05,0f2b409230b1cbdce924f4253fbf4b0d,1347775423,44.214961,-96.971834,0
375350,2019-06-22 17:04:47,3567527758368741,fraud_Doyle Ltd,grocery_pos,312.09,Amanda,Vance,F,14601 Downs Skyway Apt. 440,Sterling City,TX,76951,31.8351,-101.0017,1143,"Scientist, biomedical",1962-03-19,5f3b974a44715d0297ddb14e03635160,1340384687,30.894587,-100.985464,1
165487,2019-03-28 23:39:44,4003771737807706,"fraud_Reichert, Rowe and Mraz",shopping_net,908.46,Danielle,Hayden,F,03368 Michelle Trail,Gregory,AR,72059,35.1791,-91.2594,37,"Lecturer, further education",1958-01-01,ecd972e4bcfa1d17e679c6e6554299e2,1332977984,35.798337,-90.43103,1
713531,2019-11-01 02:40:44,4992346398065154184,fraud_Rutherford-Mertz,grocery_pos,302.91,Benjamin,Kim,M,920 Patrick Light,Mc Nabb,IL,61335,41.173,-89.2187,532,Audiological scientist,1956-01-09,80a880d8f2fa3a24ebef9fbf93b4136f,1351737644,42.155671000000005,-88.957812,1
